"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"4","1585470342.941055718","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"6","1585470343.012765986","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"8","1585470343.012859644","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3043"
"9","1585470343.012875930","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"16","1585470343.086108429","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"17","1585470343.154434358","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"19","1585470343.154531863","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3143"
"20","1585470343.154549395","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"27","1585470343.226325795","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"28","1585470343.294765595","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"30","1585470343.294870885","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3243"
"36","1585470343.368811625","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"37","1585470343.437590672","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"39","1585470343.437690175","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3343"
"40","1585470343.437705983","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"46","1585470343.517476089","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"47","1585470343.589267558","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"49","1585470343.589369586","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3443"
"50","1585470343.589386142","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"57","1585470343.662373401","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"59","1585470343.730372258","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"61","1585470343.730471229","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3543"
"62","1585470343.730489522","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"65","1585470343.739778684","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"71","1585470343.801370272","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"74","1585470343.869262224","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"76","1585470343.869355122","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3643"
"77","1585470343.869372148","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"83","1585470343.940421983","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"85","1585470344.018629123","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"87","1585470344.018772570","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3743"
"88","1585470344.018803512","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
