"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"4","1585468066.781427242","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"5","1585468066.851614761","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"7","1585468066.851707076","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3043"
"8","1585468066.851722701","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"15","1585468066.924033149","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"16","1585468066.993493096","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"18","1585468066.993576788","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3143"
"19","1585468066.993588913","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"26","1585468067.071120585","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"27","1585468067.140438419","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"29","1585468067.140546173","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3243"
"30","1585468067.140599370","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"35","1585468067.212941757","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"38","1585468067.281582223","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"40","1585468067.281719724","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3343"
"41","1585468067.281772895","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"48","1585468067.355155438","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"50","1585468067.424476193","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"52","1585468067.424565729","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3443"
"53","1585468067.424582484","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"60","1585468067.497665511","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"61","1585468067.565327129","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"63","1585468067.565427671","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3543"
"64","1585468067.565445444","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"71","1585468067.638350640","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"73","1585468067.707745404","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"75","1585468067.707896902","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3643"
"76","1585468067.708046800","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"83","1585468067.781179606","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"84","1585468067.862312109","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"86","1585468067.862389731","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3743"
"87","1585468067.862402973","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"94","1585468067.948732866","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"95","1585468068.017607650","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"97","1585468068.017739799","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3843"
"98","1585468068.017826264","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"105","1585468068.092511628","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"106","1585468068.162227139","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"108","1585468068.162392337","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3943"
"109","1585468068.162632450","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"116","1585468068.234513483","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"117","1585468068.303753477","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"119","1585468068.303909917","10.0.2.4","3.81.217.129","MQTT","71","Publish Message [tempreture]","313043"
"120","1585468068.303941353","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"127","1585468068.374903388","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"129","1585468068.442402490","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"131","1585468068.442543333","10.0.2.4","3.81.217.129","MQTT","71","Publish Message [tempreture]","313143"
"132","1585468068.442577050","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"139","1585468068.514153100","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"140","1585468068.583805405","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"142","1585468068.583894555","10.0.2.4","3.81.217.129","MQTT","71","Publish Message [tempreture]","313243"
"143","1585468068.583909569","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"150","1585468068.654501431","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"152","1585468068.722342468","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"154","1585468068.722428933","10.0.2.4","3.81.217.129","MQTT","71","Publish Message [tempreture]","313343"
"155","1585468068.722442990","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"162","1585468068.795257591","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"163","1585468068.862885291","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"165","1585468068.863002002","10.0.2.4","3.81.217.129","MQTT","71","Publish Message [tempreture]","313443"
"166","1585468068.863023300","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"173","1585468068.952480426","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"174","1585468069.021068690","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"176","1585468069.021199679","10.0.2.4","3.81.217.129","MQTT","71","Publish Message [tempreture]","313543"
"177","1585468069.021251071","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"184","1585468069.092389584","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"185","1585468069.160292357","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"187","1585468069.160462175","10.0.2.4","3.81.217.129","MQTT","71","Publish Message [tempreture]","313643"
"188","1585468069.160592164","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"195","1585468069.237850236","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"196","1585468069.306727482","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"198","1585468069.306852704","10.0.2.4","3.81.217.129","MQTT","71","Publish Message [tempreture]","313743"
"199","1585468069.306940458","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"206","1585468069.381043907","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"208","1585468069.449382964","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"210","1585468069.449499927","10.0.2.4","3.81.217.129","MQTT","71","Publish Message [tempreture]","313843"
"211","1585468069.449615157","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"218","1585468069.521293224","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"219","1585468069.590315240","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"221","1585468069.590541851","10.0.2.4","3.81.217.129","MQTT","71","Publish Message [tempreture]","313943"
"222","1585468069.590621904","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"229","1585468069.662992196","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"231","1585468069.732347431","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"233","1585468069.732432365","10.0.2.4","3.81.217.129","MQTT","71","Publish Message [tempreture]","323043"
"234","1585468069.732446669","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"241","1585468069.804651352","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"242","1585468069.874054461","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"244","1585468069.874312252","10.0.2.4","3.81.217.129","MQTT","71","Publish Message [tempreture]","323143"
"245","1585468069.874390983","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
