"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"4","1585470017.445635303","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"6","1585470017.515996975","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"8","1585470017.516250389","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3043"
"9","1585470017.516420269","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"15","1585470017.589836068","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"16","1585470017.659657377","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"18","1585470017.659734399","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3143"
"19","1585470017.659747922","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"26","1585470017.742691838","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"28","1585470017.811708224","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"30","1585470017.811858057","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3243"
"31","1585470017.811880630","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"38","1585470017.884747264","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"39","1585470017.954678399","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"41","1585470017.954768726","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3343"
"42","1585470017.954782390","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"49","1585470018.025516799","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"50","1585470018.093449234","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"52","1585470018.093522208","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3443"
"53","1585470018.093535184","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"59","1585470019.169881199","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"60","1585470019.238559779","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"62","1585470019.238682924","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3543"
"63","1585470019.238728224","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"70","1585470020.322798877","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"71","1585470020.392558062","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"73","1585470020.392656612","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3643"
"74","1585470020.392673381","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"79","1585470020.466219222","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"83","1585470020.535497090","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"85","1585470020.535628358","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3743"
"86","1585470020.535651423","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"93","1585470020.607682881","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"94","1585470020.676577625","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"96","1585470020.676659472","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3843"
"97","1585470020.676672877","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"104","1585470020.749693022","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"106","1585470020.819584237","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"108","1585470020.819656856","10.0.2.4","3.81.217.129","MQTT","70","Publish Message [tempreture]","3943"
"109","1585470020.819670867","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"116","1585470020.893999744","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"117","1585470020.961325871","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"119","1585470020.961418679","10.0.2.4","3.81.217.129","MQTT","71","Publish Message [tempreture]","313043"
