"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"4","1585469584.099693423","10.0.2.15","3.81.217.129","MQTT","93","Connect Command",""
"5","1585469584.169340643","3.81.217.129","10.0.2.15","MQTT","60","Connect Ack",""
"7","1585469584.169446821","10.0.2.15","3.81.217.129","MQTT","71","Subscribe Request (id=1) [tempreture]",""
"8","1585469584.237856759","3.81.217.129","10.0.2.15","MQTT","60","Subscribe Ack (id=1)",""
"12","1585469594.200828425","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=1) [tempreture]","3043"
"14","1585469594.200937272","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=1)",""
"16","1585469594.416126691","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=2) [tempreture]","3143"
"18","1585469594.416318996","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=2)",""
"20","1585469594.625319569","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=3) [tempreture]","3243"
"21","1585469594.625392709","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=3)",""
"22","1585469594.837193572","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=4) [tempreture]","3343"
"23","1585469594.837246480","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=4)",""
"25","1585469595.050516743","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=5) [tempreture]","3443"
"26","1585469595.050576629","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=5)",""
"28","1585469595.263325038","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=6) [tempreture]","3543"
"29","1585469595.263381513","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=6)",""
"31","1585469595.470921274","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=7) [tempreture]","3643"
"32","1585469595.470972166","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=7)",""
"34","1585469595.680332990","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=8) [tempreture]","3743"
"35","1585469595.680394640","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=8)",""
"37","1585469596.196047603","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=9) [tempreture]","3843"
"38","1585469596.196112013","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=9)",""
"40","1585469596.410853984","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=10) [tempreture]","3943"
"41","1585469596.410901036","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=10)",""
"43","1585469597.638657313","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=11) [tempreture]","313043"
"44","1585469597.638720034","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=11)",""
"45","1585469597.848422648","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=12) [tempreture]","313143"
"46","1585469597.848493988","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=12)",""
"48","1585469598.060615569","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=13) [tempreture]","313243"
"49","1585469598.060683344","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=13)",""
"51","1585469598.274022126","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=14) [tempreture]","313343"
"52","1585469598.274084296","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=14)",""
"54","1585469598.754398934","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=15) [tempreture]","313443"
"55","1585469598.754461839","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=15)",""
"57","1585469598.959057523","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=16) [tempreture]","313543"
"58","1585469598.959110664","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=16)",""
"60","1585469599.169375554","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=17) [tempreture]","313643"
"61","1585469599.169455093","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=17)",""
"63","1585469599.376938565","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=18) [tempreture]","313743"
"64","1585469599.377002870","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=18)",""
"65","1585469599.589754446","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=19) [tempreture]","313843"
"66","1585469599.589826565","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=19)",""
"68","1585469599.795756357","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=20) [tempreture]","313943"
"69","1585469599.795830828","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=20)",""
"71","1585469600.005082784","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=21) [tempreture]","323043"
"72","1585469600.005131828","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=21)",""
"74","1585469600.216420752","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=22) [tempreture]","323143"
"75","1585469600.216481968","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=22)",""
"77","1585469600.429693625","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=23) [tempreture]","323243"
"78","1585469600.429758024","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=23)",""
"80","1585469600.636822099","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=24) [tempreture]","323343"
"81","1585469600.636881461","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=24)",""
"82","1585469600.846835969","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=25) [tempreture]","323443"
"83","1585469600.846898097","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=25)",""
"85","1585469601.350659431","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=26) [tempreture]","323543"
"86","1585469601.350720812","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=26)",""
"88","1585469601.560525102","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=27) [tempreture]","323643"
"89","1585469601.560580740","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=27)",""
"91","1585469601.770765925","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=28) [tempreture]","323743"
