"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"4","1585470734.788068912","10.0.2.15","3.81.217.129","MQTT","93","Connect Command",""
"5","1585470734.857056399","3.81.217.129","10.0.2.15","MQTT","60","Connect Ack",""
"7","1585470734.857179201","10.0.2.15","3.81.217.129","MQTT","71","Subscribe Request (id=1) [tempreture]",""
"8","1585470734.927099416","3.81.217.129","10.0.2.15","MQTT","60","Subscribe Ack (id=1)",""
"12","1585470793.639372289","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=1) [tempreture]","3043"
"14","1585470793.639497615","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=1)",""
"16","1585470793.858320730","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=2) [tempreture]","3143"
"18","1585470793.858546912","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=2)",""
"20","1585470794.070368623","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=3) [tempreture]","3243"
"21","1585470794.070458231","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=3)",""
"23","1585470794.282997143","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=4) [tempreture]","3343"
"24","1585470794.283057501","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=4)",""
"26","1585470795.502583869","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=5) [tempreture]","3443"
"27","1585470795.502636935","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=5)",""
"29","1585470795.714036753","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=6) [tempreture]","3543"
"30","1585470795.714094564","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=6)",""
"31","1585470795.921258728","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=7) [tempreture]","3643"
"32","1585470795.921352100","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=7)",""
"34","1585470796.128049143","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=8) [tempreture]","3743"
"35","1585470796.128117158","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=8)",""
"37","1585470796.647975401","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=9) [tempreture]","3843"
"38","1585470796.648036303","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=9)",""
"40","1585470796.858115056","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=10) [tempreture]","3943"
"41","1585470796.858173943","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=10)",""
"43","1585470797.064077298","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=11) [tempreture]","313043"
"44","1585470797.064131235","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=11)",""
"46","1585470797.273919784","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=12) [tempreture]","313143"
"47","1585470797.273979794","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=12)",""
"49","1585470797.477980611","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=13) [tempreture]","313243"
"50","1585470797.478041610","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=13)",""
"51","1585470797.688644329","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=14) [tempreture]","313343"
"52","1585470797.688719016","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=14)",""
"54","1585470797.893738305","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=15) [tempreture]","313443"
"55","1585470797.893832519","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=15)",""
"57","1585470798.982341078","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=16) [tempreture]","313543"
"58","1585470798.982403006","10.0.2.15","3.81.217.129","MQTT","58","Publish Ack (id=16)",""
