"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"13267","1585469322.413860639","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37343743"
"13271","1585469322.481784604","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13273","1585469322.481882493","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13274","1585469322.549704148","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13276","1585469322.549796959","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13284","1585469322.622800588","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13285","1585469322.691987495","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13287","1585469322.692121895","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37343843"
"13289","1585469322.761155597","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13291","1585469322.761258782","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13292","1585469322.830386508","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13294","1585469322.830483775","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13301","1585469322.903010407","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13303","1585469322.971634959","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13305","1585469322.971736146","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37343943"
"13306","1585469323.040670188","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13308","1585469323.040743569","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13309","1585469323.109613951","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13314","1585469323.181980011","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13316","1585469323.250229457","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13318","1585469323.250346394","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37353043"
"13319","1585469323.319213480","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13321","1585469323.319322404","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13322","1585469323.387958819","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13323","1585469323.387987467","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13325","1585469323.388073222","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13336","1585469323.460150101","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13339","1585469323.528399476","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13341","1585469323.528572223","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37353143"
"13342","1585469323.596819275","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13344","1585469323.596907825","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13345","1585469323.665717878","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13347","1585469323.665827060","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13355","1585469323.737773017","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13356","1585469323.805592957","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13358","1585469323.805753278","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37353243"
"13359","1585469323.874508288","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13361","1585469323.874621126","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13362","1585469323.943012380","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13364","1585469323.943137591","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13374","1585469324.015267428","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13375","1585469324.088101952","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13377","1585469324.088202739","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37353343"
"13378","1585469324.157329559","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13380","1585469324.157411161","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13382","1585469324.226874870","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13384","1585469324.226966846","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13392","1585469324.299303472","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13393","1585469324.367345535","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13395","1585469324.367441203","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37353443"
"13396","1585469324.436412335","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13398","1585469324.436582691","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13400","1585469324.505055503","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13401","1585469324.505146663","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13409","1585469324.575773802","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"13410","1585469324.643020830","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"13412","1585469324.643118826","10.0.2.4","3.81.217.129","MQTT","74","Publish Message (id=1) [tempreture]","37353543"
"13413","1585469324.710917529","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"13415","1585469324.711014865","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"13417","1585469324.779153194","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"13419","1585469324.779268418","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"13427","1585469324.851991261","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
