"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"4","1585468585.639523305","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"5","1585468585.708885374","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"7","1585468585.709036748","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3043"
"8","1585468585.778132818","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"10","1585468585.778243194","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"12","1585468585.847755504","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"14","1585468585.848050810","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"22","1585468585.920092148","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"23","1585468585.992168220","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"25","1585468585.992258680","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3143"
"27","1585468586.061748055","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"29","1585468586.061843488","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"30","1585468586.131224747","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"32","1585468586.131331479","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"40","1585468586.219559088","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"41","1585468586.288602228","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"43","1585468586.288688136","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3243"
"45","1585468586.357516822","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"47","1585468586.357599062","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"48","1585468586.426902053","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"50","1585468586.427181464","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"58","1585468586.498191766","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"60","1585468586.565753477","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"62","1585468586.565825241","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3343"
"63","1585468586.633775450","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"65","1585468586.633856471","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"66","1585468586.705525998","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"68","1585468586.705642170","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"76","1585468586.779673124","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"78","1585468586.848686623","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"80","1585468586.848849677","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3443"
"81","1585468586.918129128","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"83","1585468586.918242994","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"84","1585468586.989181159","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"86","1585468586.989320489","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"94","1585468587.060678858","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"95","1585468587.129520350","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"97","1585468587.129624225","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3543"
"98","1585468587.197845072","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"100","1585468587.197968016","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"101","1585468587.266435025","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"103","1585468587.266711604","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"111","1585468587.339375005","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"112","1585468587.417346904","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
