"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"4","1585471581.108228394","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"6","1585471581.176723512","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"8","1585471581.176849948","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3043"
"9","1585471581.244912451","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"11","1585471581.245010230","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"12","1585471581.312745398","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"14","1585471581.312867578","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"22","1585471581.384406677","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"24","1585471581.452076420","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"26","1585471581.452170128","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3143"
"27","1585471581.520288798","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"29","1585471581.520383530","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"30","1585471581.588033951","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"32","1585471581.588125581","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"39","1585471581.658563390","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"40","1585471581.726229756","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"42","1585471581.726353033","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3243"
"43","1585471581.794587273","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"45","1585471581.794688172","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"46","1585471581.862766326","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"48","1585471581.862883914","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"56","1585471581.935508671","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"57","1585471582.003208573","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"59","1585471582.003325311","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3343"
"60","1585471582.071291603","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
