"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"4","1585471572.154537909","10.0.2.15","3.81.217.129","MQTT","93","Connect Command",""
"5","1585471572.223808610","3.81.217.129","10.0.2.15","MQTT","60","Connect Ack",""
"7","1585471572.223915254","10.0.2.15","3.81.217.129","MQTT","71","Subscribe Request (id=1) [tempreture]",""
"8","1585471572.293059663","3.81.217.129","10.0.2.15","MQTT","60","Subscribe Ack (id=1)",""
"10","1585471581.312435666","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=1) [tempreture]","3043"
"12","1585471581.312548718","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=1)",""
"13","1585471581.382654773","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=1)",""
"15","1585471581.382759707","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=1)",""
"17","1585471581.587654061","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=2) [tempreture]","3143"
"18","1585471581.587717387","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=2)",""
"20","1585471581.656791974","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=2)",""
"21","1585471581.656867109","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=2)",""
"22","1585471581.862456573","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=3) [tempreture]","3243"
"23","1585471581.862534538","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=3)",""
"25","1585471581.930451668","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=3)",""
"26","1585471581.930532485","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=3)",""
"27","1585471582.138421124","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=4) [tempreture]","3343"
"28","1585471582.138508091","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=4)",""
"30","1585471582.207089981","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=4)",""
"31","1585471582.207171679","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=4)",""
"33","1585471582.412478641","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=5) [tempreture]","3443"
"34","1585471582.412543835","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=5)",""
"35","1585471582.480649084","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=5)",""
"36","1585471582.480732802","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=5)",""
"38","1585471582.694433045","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=6) [tempreture]","3543"
"39","1585471582.694492954","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=6)",""
"40","1585471582.762515624","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=6)",""
"41","1585471582.762610337","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=6)",""
"43","1585471582.984364271","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=7) [tempreture]","3643"
"44","1585471582.984434778","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=7)",""
"45","1585471583.052665957","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=7)",""
"46","1585471583.052744984","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=7)",""
"48","1585471583.264969572","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=8) [tempreture]","3743"
"49","1585471583.265041007","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=8)",""
"50","1585471583.333520255","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=8)",""
"51","1585471583.333625210","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=8)",""
"53","1585471583.544222840","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=9) [tempreture]","3843"
"54","1585471583.544292990","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=9)",""
"55","1585471583.612300326","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=9)",""
"56","1585471583.612379964","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=9)",""
"58","1585471583.826320133","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=10) [tempreture]","3943"
"59","1585471583.826391517","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=10)",""
"60","1585471583.894585209","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=10)",""
"61","1585471583.894665260","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=10)",""
"63","1585471584.102190240","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=11) [tempreture]","313043"
"64","1585471584.102253058","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=11)",""
