"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"89","1585469023.119412721","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=15)",""
"90","1585469023.334259071","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=16) [tempreture]","313543"
"91","1585469023.334347283","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=16)",""
"93","1585469023.401269577","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=16)",""
"94","1585469023.401338650","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=16)",""
"96","1585469023.608027381","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=17) [tempreture]","313643"
"97","1585469023.608084369","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=17)",""
"98","1585469023.675460329","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=17)",""
"99","1585469023.675526078","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=17)",""
"101","1585469023.886845345","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=18) [tempreture]","313743"
"102","1585469023.886941308","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=18)",""
"103","1585469023.953966258","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=18)",""
"104","1585469023.954026473","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=18)",""
"106","1585469024.165959075","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=19) [tempreture]","313843"
"107","1585469024.166014457","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=19)",""
"108","1585469024.233003555","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=19)",""
"109","1585469024.233071163","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=19)",""
"111","1585469025.728855452","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=20) [tempreture]","313943"
"112","1585469025.728916496","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=20)",""
"113","1585469025.796107316","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=20)",""
"114","1585469025.796215881","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=20)",""
"116","1585469026.888365167","3.81.217.129","10.0.2.15","MQTT","73","Publish Message (id=21) [tempreture]","323043"
