"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"4","1585469594.061959253","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"6","1585469594.131111280","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"8","1585469594.131240020","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3043"
"9","1585469594.201151581","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"14","1585469594.278571936","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"16","1585469594.347036517","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"18","1585469594.347127082","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3143"
"19","1585469594.416444516","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"21","1585469594.416677478","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"29","1585469594.488902120","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"30","1585469594.492246735","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"32","1585469594.557177389","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"34","1585469594.557268618","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3243"
"38","1585469594.625629476","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"40","1585469594.625757215","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"48","1585469594.701787471","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"49","1585469594.769861967","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"51","1585469594.769979734","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3343"
"52","1585469594.838657420","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"54","1585469594.838818451","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"62","1585469594.911923788","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"63","1585469594.981454813","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"65","1585469594.981604815","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3443"
"66","1585469595.051622076","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"68","1585469595.051787243","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"76","1585469595.125893943","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"77","1585469595.195481547","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"79","1585469595.195564245","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3543"
"80","1585469595.264306376","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"82","1585469595.264410695","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"90","1585469595.336980859","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"92","1585469595.404307986","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"94","1585469595.404397005","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3643"
"95","1585469595.472283019","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"97","1585469595.472360932","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"105","1585469595.543041480","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"107","1585469595.610627979","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"109","1585469595.610715642","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3743"
"110","1585469595.680537862","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"112","1585469595.680652454","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"120","1585469595.751851720","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"121","1585469595.820169427","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"123","1585469596.123590864","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3843"
"124","1585469596.196340332","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"126","1585469596.196418133","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"133","1585469596.274877312","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"134","1585469596.342633600","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"136","1585469596.342751295","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3943"
"138","1585469596.410673694","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"140","1585469596.410801361","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"148","1585469597.504239688","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"149","1585469597.571844673","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
