"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"4","1585470793.501386228","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"5","1585470793.570065285","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"7","1585470793.570145473","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3043"
"8","1585470793.639717394","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"10","1585470793.639838477","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"18","1585470793.716435912","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"19","1585470793.786885368","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"21","1585470793.788332205","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3143"
"22","1585470793.858628338","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"24","1585470793.858837385","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"32","1585470793.931284454","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"33","1585470794.000970406","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"35","1585470794.001126442","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3243"
"36","1585470794.070717552","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"38","1585470794.070907718","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"46","1585470794.143861699","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"48","1585470794.214004277","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"50","1585470794.214188912","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3343"
"51","1585470794.284434018","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"53","1585470794.284594362","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"61","1585470795.363095950","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"62","1585470795.433045883","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"64","1585470795.433206297","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3443"
"66","1585470795.503677903","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
