"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"4","1585468304.761071562","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"6","1585468304.830349698","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"8","1585468304.830534244","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3043"
"9","1585468304.899728173","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"11","1585468304.899871499","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"19","1585468304.971579769","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"20","1585468305.039981260","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"22","1585468305.040093455","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3143"
"24","1585468305.108150430","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"26","1585468305.108226606","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"34","1585468305.181330553","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"35","1585468305.250957155","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"37","1585468305.251089019","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3243"
"39","1585468305.320645607","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"41","1585468305.320767204","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"49","1585468305.393784997","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"50","1585468305.464215507","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"52","1585468305.464421399","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3343"
"53","1585468305.537040250","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"55","1585468305.537137405","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"63","1585468305.609588714","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"64","1585468305.679090585","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"66","1585468305.679223202","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3443"
"67","1585468305.748680949","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"69","1585468305.748796966","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"77","1585468305.825571283","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"78","1585468305.894394372","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"80","1585468305.894501839","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3543"
"81","1585468305.963217931","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"83","1585468305.963311711","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"91","1585468306.037852980","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"93","1585468306.107077043","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"95","1585468306.107212721","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3643"
"96","1585468306.176716897","3.81.217.129","10.0.2.4","MQTT","60","Publish Ack (id=1)",""
"98","1585468306.176800783","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"106","1585468306.248596828","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"108","1585468306.316569632","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"110","1585468306.316676224","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3743"
